"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000235896.2",75.6834146218731,8.29828093503132,1.21634820283391,3.78713763808175e-13,1.94684992788009e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211611.2",173.44864983779,8.05893251845117,1.17595567505901,3.58883730202615e-13,1.91079951780735e-10,NA,NA,NA,NA,NA,NA
"ENSG00000242371.1",2573.56467291211,8.04271061069089,0.95199673434325,1.56016799395366e-18,3.87649740897687e-15,NA,NA,NA,NA,NA,NA
"ENSG00000211619.2",116.385720813033,8.04014804405467,1.24256622539201,4.81821042545575e-12,1.91546349393851e-09,NA,NA,NA,NA,NA,NA
"ENSG00000253274.1",93.7021269372563,8.00672355987523,1.14116163766499,1.17961424704521e-13,7.48327199785106e-11,NA,NA,NA,NA,NA,NA
"ENSG00000240834.1",294.213440599179,7.93487245327165,1.00781156367926,1.92781789577684e-16,2.61271901729465e-13,NA,NA,NA,NA,NA,NA
"ENSG00000222037.5",997.939884800053,7.88954358594784,0.9608480398228,1.27234430050912e-17,2.70972983314142e-14,NA,NA,NA,NA,NA,NA
"ENSG00000211593.2",3005.13820092148,7.87601610863528,0.800233848341619,4.46083386897794e-24,6.65021113187231e-20,NA,NA,NA,NA,NA,NA
"ENSG00000251546.1",190.287190236123,7.81915191901572,0.966768964931405,3.67719345798379e-17,6.8524500089528e-14,NA,NA,NA,NA,NA,NA
"ENSG00000211937.2",1281.97573051768,7.74199383960505,0.976217806092877,1.38506856088408e-16,2.06486021056598e-13,NA,NA,NA,NA,NA,NA
"ENSG00000211972.2",82.7291794161461,7.5639005431652,1.13222676365296,1.63615656030136e-12,6.80821450909649e-10,NA,NA,NA,NA,NA,NA
"ENSG00000240864.1",594.574631622248,7.51802041402644,0.829311902849048,9.33669692960329e-21,9.27943185510172e-17,NA,NA,NA,NA,NA,NA
"ENSG00000211946.2",138.020029367083,7.46257513358806,1.03291354256782,3.76301183566769e-14,2.64455828464814e-11,NA,NA,NA,NA,NA,NA
"ENSG00000241294.1",451.587552002342,7.42490613095714,1.08280513681771,5.33726435269985e-13,2.56670764419514e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211965.2",392.022696941899,7.32637543228249,0.840158761182656,2.35351818325161e-19,1.01806106991816e-15,NA,NA,NA,NA,NA,NA
"ENSG00000211640.3",947.164062386064,7.25830461594476,1.00808428371117,5.16169320491243e-14,3.49775101358338e-11,NA,NA,NA,NA,NA,NA
"ENSG00000243063.1",89.641309941098,7.24460183224965,1.05184167345881,4.8664483570772e-13,2.3786561346658e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211905.1",48.0512869328197,7.23163670106708,0.966032059636649,6.25129054223405e-15,5.29759452081734e-12,NA,NA,NA,NA,NA,NA
"ENSG00000224373.2",2570.62356195826,7.21919687621597,1.01938914064781,1.24749485884568e-13,7.65740777463935e-11,NA,NA,NA,NA,NA,NA
"ENSG00000211947.2",1012.80155832231,7.05743401331968,0.817469341941655,6.01166556195358e-19,1.79243820395208e-15,NA,NA,NA,NA,NA,NA
"ENSG00000211674.2",107.012169198523,7.03860482901796,0.938537741216397,6.39634433691388e-15,5.29759452081734e-12,NA,NA,NA,NA,NA,NA
"ENSG00000211935.2",530.094629355068,7.02297975600325,1.00416310893712,2.66220810278088e-13,1.52646916908682e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211649.2",333.172270814353,7.0073748854969,1.07584660796026,7.27261139902861e-12,2.78000232658253e-09,NA,NA,NA,NA,NA,NA
"ENSG00000240382.1",666.076308702395,7.00628708784639,0.873075650453922,1.04862279971586e-16,1.64556512612252e-13,NA,NA,NA,NA,NA,NA
"ENSG00000223648.2",99.4361195895844,6.97401931676436,1.07817835628333,1.00063045883207e-11,3.77655667854897e-09,NA,NA,NA,NA,NA,NA
"ENSG00000239819.1",61.4597087739351,6.93233087071867,1.02832317783586,1.64405501963693e-12,6.80821450909649e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211930.1",20.3178000024597,6.92824447231283,1.19672765678199,7.09712678548354e-10,1.76339943529981e-07,NA,NA,NA,NA,NA,NA
"ENSG00000211673.2",2166.82519592595,6.92320224905935,0.928595221828805,9.62338799502872e-15,7.55081411736253e-12,NA,NA,NA,NA,NA,NA
"ENSG00000239855.1",540.165376081493,6.87254183125976,0.923695670840751,1.11619180309366e-14,8.53342943616427e-12,NA,NA,NA,NA,NA,NA
"ENSG00000211662.2",2059.08992777048,6.85862565839991,0.875282022918764,5.26176472685944e-16,6.53686571233504e-13,NA,NA,NA,NA,NA,NA
"ENSG00000211934.2",1476.65562622715,6.85367854160687,0.850020086084007,8.48075837194327e-17,1.40479050898811e-13,NA,NA,NA,NA,NA,NA
"ENSG00000211660.3",2500.0428903694,6.84156653483745,0.781802688808691,2.4531869133499e-19,1.01806106991816e-15,NA,NA,NA,NA,NA,NA
"ENSG00000211670.2",211.038128386205,6.83843265558973,1.03787183798438,4.9112104437242e-12,1.92674540250106e-09,NA,NA,NA,NA,NA,NA
"ENSG00000211668.2",1742.56591931056,6.81712832811028,0.686045279182306,3.4369758921998e-24,6.65021113187231e-20,NA,NA,NA,NA,NA,NA
"ENSG00000211941.2",758.629492385954,6.81378051159736,0.876644873126916,8.93641673521297e-16,1.06579280550844e-12,NA,NA,NA,NA,NA,NA
"ENSG00000211904.2",143.988542895827,6.77403602079983,1.07787621245716,3.75469773422465e-11,1.20376416821121e-08,NA,NA,NA,NA,NA,NA
"ENSG00000211594.2",3334.73089520956,6.77378224418047,0.770879646558078,1.86018681717099e-19,1.01806106991816e-15,NA,NA,NA,NA,NA,NA
"ENSG00000239975.1",43.2096820492854,6.74685708828511,1.15086250643943,5.18836850789199e-10,1.35698592483603e-07,NA,NA,NA,NA,NA,NA
"ENSG00000211666.2",4425.4058212031,6.71144557680356,0.782714006315462,1.24998422381664e-18,3.38813905611973e-15,NA,NA,NA,NA,NA,NA
"ENSG00000244575.1",433.552887876775,6.68498462282067,0.930241901944629,8.28963785684963e-14,5.49252982977397e-11,NA,NA,NA,NA,NA,NA
"ENSG00000211945.2",1366.40488445571,6.66758691895376,0.799088714976037,9.24962874815641e-18,2.12143792888486e-14,NA,NA,NA,NA,NA,NA
"ENSG00000211653.2",4024.18139126489,6.61879733086682,0.866314974407725,2.84537188816758e-15,2.82792027392015e-12,NA,NA,NA,NA,NA,NA
"ENSG00000211953.2",2145.72817572563,6.61705233351258,0.807350500960023,3.2957422317799e-17,6.55105669218329e-14,NA,NA,NA,NA,NA,NA
"ENSG00000231475.2",901.786845694828,6.58907139968586,0.968201242444607,1.31917559973237e-12,5.61893424023146e-10,NA,NA,NA,NA,NA,NA
"ENSG00000243290.1",1176.23803859104,6.58289341637758,0.82381402495833,1.81106460722004e-16,2.57136677756537e-13,NA,NA,NA,NA,NA,NA
"ENSG00000211644.2",3059.80519874166,6.54730686152058,0.747426993904254,2.7315832302607e-19,1.01806106991816e-15,NA,NA,NA,NA,NA,NA
"ENSG00000242472.1",279.549567745855,6.54347087828109,0.848107015084075,1.66113108144942e-15,1.76886729730342e-12,NA,NA,NA,NA,NA,NA
"ENSG00000211939.2",344.63634782334,6.5352354498976,0.849068663872384,1.92840361781902e-15,1.98266490582385e-12,NA,NA,NA,NA,NA,NA
"ENSG00000211896.2",209578.062020941,6.51772676878249,0.749758447706587,5.01183731887408e-19,1.66036601666166e-15,NA,NA,NA,NA,NA,NA
"ENSG00000271288.1",108.929839810523,6.48623554214296,1.14365575515476,1.8752795458539e-09,4.54579958855121e-07,NA,NA,NA,NA,NA,NA
"ENSG00000211900.2",614.56949259451,6.46187552361642,0.793296370379192,5.50849380677811e-17,9.66125007899388e-14,NA,NA,NA,NA,NA,NA
"ENSG00000241351.1",3806.73513592902,6.45704314067263,0.872446746257965,1.95084851681249e-14,1.45416248443203e-11,NA,NA,NA,NA,NA,NA
"ENSG00000242076.1",555.358030517574,6.43104191124024,0.879344435051604,3.81392561845553e-14,2.64455828464814e-11,NA,NA,NA,NA,NA,NA
"ENSG00000211648.2",1970.23702205928,6.40032146062299,0.934381432116611,1.09168138883432e-12,4.85814511783343e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211685.2",836.081369230286,6.38010100863338,0.891873857941853,1.27326405881653e-13,7.65740777463935e-11,NA,NA,NA,NA,NA,NA
"ENSG00000211973.2",3548.3928349243,6.33369574675558,0.9838946193753,1.84671811669108e-11,6.28154556591982e-09,NA,NA,NA,NA,NA,NA
"ENSG00000254395.1",92.4352409050065,6.31429335351551,0.985662462868605,2.29221135237057e-11,7.59384152025344e-09,NA,NA,NA,NA,NA,NA
"ENSG00000211676.2",35.2407214341134,6.30242047594992,0.967230491972958,1.12159655678033e-11,4.18019036712028e-09,NA,NA,NA,NA,NA,NA
"ENSG00000241566.1",13.8016590416854,6.27662893055018,1.14178065794569,5.70303805159499e-09,1.25956875960264e-06,NA,NA,NA,NA,NA,NA
"ENSG00000254709.2",108.431276387485,6.27029420326239,0.898263690369764,4.71993599660026e-13,2.34549352791056e-10,"IGLL5","100423062","GO:0070062",NA,"B9A064",NA
"ENSG00000211976.2",155.575210278322,6.19598850695983,0.84005719027823,2.76793520250016e-14,2.01289648774987e-11,NA,NA,NA,NA,NA,NA
"ENSG00000211949.2",3600.25989264748,6.19555848967669,0.899666833652583,9.57537164265557e-13,4.32574668026392e-10,NA,NA,NA,NA,NA,NA
"ENSG00000254030.1",27.3180478378226,6.19175896186294,1.01724772610278,1.88358814383902e-10,5.10555128151857e-08,NA,NA,NA,NA,NA,NA
"ENSG00000241755.1",1105.70775615946,6.18904232468283,0.88021298135056,3.45215083095959e-13,1.87144234865256e-10,NA,NA,NA,NA,NA,NA
"ENSG00000239862.1",20.320693488828,6.18893915346101,0.983984787702735,5.25348853247214e-11,1.6488212008862e-08,NA,NA,NA,NA,NA,NA
"ENSG00000211942.2",175.103408334482,6.14862190804588,1.03412712718836,4.5872784956614e-10,1.21039199669593e-07,NA,NA,NA,NA,NA,NA
"ENSG00000253818.1",51.8265706138378,6.14478040301091,1.36106922268381,4.91562189375325e-07,7.92238823698092e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211956.2",793.592732700231,6.14391596555406,0.788420841999398,1.154284786229e-15,1.32369827639246e-12,NA,NA,NA,NA,NA,NA
"ENSG00000253209.1",14.938812011133,6.14033771977487,1.09807400572937,3.65487400495348e-09,8.31860483448038e-07,NA,NA,NA,NA,NA,NA
"ENSG00000253131.1",16.5185565679207,6.1378702844457,1.11948718540776,6.72033140056825e-09,1.47333383117164e-06,NA,NA,NA,NA,NA,NA
"ENSG00000211625.2",242.608805204649,6.12194805527114,0.892428583123107,1.20540009871065e-12,5.20872599176184e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211671.2",1687.00156458549,6.11880545831809,0.878022671524529,5.6142584454312e-13,2.65705920331709e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211669.2",364.145295523297,6.1053720445266,0.956688328234143,3.0494834410598e-11,9.88297807376511e-09,NA,NA,NA,NA,NA,NA
"ENSG00000225972.1",2239.40541102396,6.09957917516887,1.00021711763776,1.85448314608845e-10,5.07277701685992e-08,NA,NA,NA,NA,NA,NA
"ENSG00000228325.3",17.6466496711625,6.09529003191671,0.985614497128976,1.08577194794416e-10,3.20528479206961e-08,NA,NA,NA,NA,NA,NA
"ENSG00000211923.1",15.6521030353129,6.08422401612708,0.994458622012166,1.65397381524404e-10,4.56619289586263e-08,NA,NA,NA,NA,NA,NA
"ENSG00000253234.1",27.6387106573929,6.07936488022061,0.985145995039765,1.19126250337484e-10,3.41525796159849e-08,NA,NA,NA,NA,NA,NA
"ENSG00000237127.1",11.7976941973563,6.0695697550447,1.403793312867,8.85169392142111e-07,0.000136042322660357,NA,NA,NA,NA,NA,NA
"ENSG00000239951.1",8170.92572552144,6.06090606522306,0.777800217240561,1.21523903793795e-15,1.34198396870955e-12,NA,NA,NA,NA,NA,NA
"ENSG00000270472.1",13.2891529814532,6.04452856569088,0.982391679722044,1.36304048373134e-10,3.8705157202794e-08,NA,NA,NA,NA,NA,NA
"ENSG00000211895.3",88379.0283935788,6.03899968946151,0.7889490486804,3.6243567102974e-15,3.48592966691056e-12,NA,NA,NA,NA,NA,NA
"ENSG00000211663.2",1668.60417025146,6.03349568296369,0.836101703306708,9.93105080689209e-14,6.43704806213683e-11,NA,NA,NA,NA,NA,NA
